ct_name,ct_adcode,pr_name,pr_adcode
衢州市,330800,浙江省,330000
绍兴市,330600,浙江省,330000
铜陵市,340700,安徽省,340000
池州市,341700,安徽省,340000
安庆市,340800,安徽省,340000
淮北市,340600,安徽省,340000
马鞍山市,340500,安徽省,340000
亳州市,341600,安徽省,340000
黄山市,341000,安徽省,340000
蚌埠市,340300,安徽省,340000
淮南市,340400,安徽省,340000
阜阳市,341200,安徽省,340000
六安市,341500,安徽省,340000
宣城市,341800,安徽省,340000
芜湖市,340200,安徽省,340000
宿州市,341300,安徽省,340000
合肥市,340100,安徽省,340000
滁州市,341100,安徽省,340000
宁德市,350900,福建省,350000
福州市,350100,福建省,350000
莆田市,350300,福建省,350000
泉州市,350500,福建省,350000
厦门市,350200,福建省,350000
漳州市,350600,福建省,350000
龙岩市,350800,福建省,350000
三明市,350400,福建省,350000
南平市,350700,福建省,350000
新余市,360500,江西省,360000
南昌市,360100,江西省,360000
吉安市,360800,江西省,360000
宜春市,360900,江西省,360000
赣州市,360700,江西省,360000
景德镇市,360200,江西省,360000
上饶市,361100,江西省,360000
萍乡市,360300,江西省,360000
九江市,360400,江西省,360000
抚州市,361000,江西省,360000
鹰潭市,360600,江西省,360000
东营市,370500,山东省,370000
滨州市,371600,山东省,370000
聊城市,371500,山东省,370000
潍坊市,370700,山东省,370000
烟台市,370600,山东省,370000
威海市,371000,山东省,370000
青岛市,370200,山东省,370000
济宁市,370800,山东省,370000
枣庄市,370400,山东省,370000
德州市,371400,山东省,370000
临沂市,371300,山东省,370000
泰安市,370900,山东省,370000
济南市,370100,山东省,370000
菏泽市,371700,山东省,370000
日照市,371100,山东省,370000
淄博市,370300,山东省,370000
洛阳市,410300,河南省,410000
三门峡市,411200,河南省,410000
漯河市,411100,河南省,410000
许昌市,411000,河南省,410000
南阳市,411300,河南省,410000
信阳市,411500,河南省,410000
鹤壁市,410600,河南省,410000
濮阳市,410900,河南省,410000
济源市,419001,河南省,410000
平顶山市,410400,河南省,410000
开封市,410200,河南省,410000
郑州市,410100,河南省,410000
新乡市,410700,河南省,410000
焦作市,410800,河南省,410000
商丘市,411400,河南省,410000
周口市,411600,河南省,410000
驻马店市,411700,河南省,410000
安阳市,410500,河南省,410000
襄阳市,420600,湖北省,420000
十堰市,420300,湖北省,420000
宜昌市,420500,湖北省,420000
武汉市,420100,湖北省,420000
黄冈市,421100,湖北省,420000
天门市,429006,湖北省,420000
孝感市,420900,湖北省,420000
荆门市,420800,湖北省,420000
潜江市,429005,湖北省,420000
恩施土家族苗族自治州,422800,湖北省,420000
仙桃市,429004,湖北省,420000
咸宁市,421200,湖北省,420000
荆州市,421000,湖北省,420000
神农架林区,429021,湖北省,420000
随州市,421300,湖北省,420000
鄂州市,420700,湖北省,420000
黄石市,420200,湖北省,420000
岳阳市,430600,湖南省,430000
怀化市,431200,湖南省,430000
湘西土家族苗族自治州,433100,湖南省,430000
益阳市,430900,湖南省,430000
衡阳市,430400,湖南省,430000
湘潭市,430300,湖南省,430000
永州市,431100,湖南省,430000
郴州市,431000,湖南省,430000
株洲市,430200,湖南省,430000
张家界市,430800,湖南省,430000
常德市,430700,湖南省,430000
长沙市,430100,湖南省,430000
邵阳市,430500,湖南省,430000
娄底市,431300,湖南省,430000
汕头市,440500,广东省,440000
佛山市,440600,广东省,440000
肇庆市,441200,广东省,440000
惠州市,441300,广东省,440000
深圳市,440300,广东省,440000
珠海市,440400,广东省,440000
湛江市,440800,广东省,440000
江门市,440700,广东省,440000
阳江市,441700,广东省,440000
茂名市,440900,广东省,440000
汕尾市,441500,广东省,440000
云浮市,445300,广东省,440000
河源市,441600,广东省,440000
潮州市,445100,广东省,440000
揭阳市,445200,广东省,440000
韶关市,440200,广东省,440000
清远市,441800,广东省,440000
广州市,440100,广东省,440000
中山市,442000,广东省,440000
东莞市,441900,广东省,440000
梅州市,441400,广东省,440000
百色市,451000,广西壮族自治区,450000
钦州市,450700,广西壮族自治区,450000
北海市,450500,广西壮族自治区,450000
梧州市,450400,广西壮族自治区,450000
防城港市,450600,广西壮族自治区,450000
桂林市,450300,广西壮族自治区,450000
来宾市,451300,广西壮族自治区,450000
贺州市,451100,广西壮族自治区,450000
贵港市,450800,广西壮族自治区,450000
河池市,451200,广西壮族自治区,450000
柳州市,450200,广西壮族自治区,450000
南宁市,450100,广西壮族自治区,450000
玉林市,450900,广西壮族自治区,450000
崇左市,451400,广西壮族自治区,450000
临高县,469024,海南省,460000
白沙黎族自治县,469025,海南省,460000
屯昌县,469022,海南省,460000
万宁市,469006,海南省,460000
琼海市,469002,海南省,460000
琼中黎族苗族自治县,469030,海南省,460000
东方市,469007,海南省,460000
陵水黎族自治县,469028,海南省,460000
乐东黎族自治县,469027,海南省,460000
三沙市,460300,海南省,460000
文昌市,469005,海南省,460000
三亚市,460200,海南省,460000
儋州市,460400,海南省,460000
保亭黎族苗族自治县,469029,海南省,460000
五指山市,469001,海南省,460000
昌江黎族自治县,469026,海南省,460000
定安县,469021,海南省,460000
澄迈县,469023,海南省,460000
海口市,460100,海南省,460000
重庆市,500000,重庆市,500000
广元市,510800,四川省,510000
南充市,511300,四川省,510000
巴中市,511900,四川省,510000
德阳市,510600,四川省,510000
绵阳市,510700,四川省,510000
成都市,510100,四川省,510000
广安市,511600,四川省,510000
达州市,511700,四川省,510000
遂宁市,510900,四川省,510000
资阳市,512000,四川省,510000
眉山市,511400,四川省,510000
内江市,511000,四川省,510000
乐山市,511100,四川省,510000
自贡市,510300,四川省,510000
泸州市,510500,四川省,510000
宜宾市,511500,四川省,510000
凉山彝族自治州,513400,四川省,510000
攀枝花市,510400,四川省,510000
甘孜藏族自治州,513300,四川省,510000
阿坝藏族羌族自治州,513200,四川省,510000
雅安市,511800,四川省,510000
遵义市,520300,贵州省,520000
铜仁市,520600,贵州省,520000
六盘水市,520200,贵州省,520000
黔南布依族苗族自治州,522700,贵州省,520000
安顺市,520400,贵州省,520000
黔西南布依族苗族自治州,522300,贵州省,520000
黔东南苗族侗族自治州,522600,贵州省,520000
毕节市,520500,贵州省,520000
贵阳市,520100,贵州省,520000
昭通市,530600,云南省,530000
曲靖市,530300,云南省,530000
红河哈尼族彝族自治州,532500,云南省,530000
怒江傈僳族自治州,533300,云南省,530000
玉溪市,530400,云南省,530000
大理白族自治州,532900,云南省,530000
普洱市,530800,云南省,530000
迪庆藏族自治州,533400,云南省,530000
楚雄彝族自治州,532300,云南省,530000
昆明市,530100,云南省,530000
德宏傣族景颇族自治州,533100,云南省,530000
临沧市,530900,云南省,530000
保山市,530500,云南省,530000
丽江市,530700,云南省,530000
文山壮族苗族自治州,532600,云南省,530000
西双版纳傣族自治州,532800,云南省,530000
昌都市,540300,西藏自治区,540000
那曲市,540600,西藏自治区,540000
拉萨市,540100,西藏自治区,540000
日喀则市,540200,西藏自治区,540000
山南市,540500,西藏自治区,540000
林芝市,540400,西藏自治区,540000
阿里地区,542500,西藏自治区,540000
商洛市,611000,陕西省,610000
汉中市,610700,陕西省,610000
延安市,610600,陕西省,610000
西安市,610100,陕西省,610000
咸阳市,610400,陕西省,610000
宝鸡市,610300,陕西省,610000
铜川市,610200,陕西省,610000
渭南市,610500,陕西省,610000
安康市,610900,陕西省,610000
榆林市,610800,陕西省,610000
嘉峪关市,620200,甘肃省,620000
金昌市,620300,甘肃省,620000
酒泉市,620900,甘肃省,620000
兰州市,620100,甘肃省,620000
平凉市,620800,甘肃省,620000
张掖市,620700,甘肃省,620000
武威市,620600,甘肃省,620000
甘南藏族自治州,623000,甘肃省,620000
陇南市,621200,甘肃省,620000
天水市,620500,甘肃省,620000
定西市,621100,甘肃省,620000
临夏回族自治州,622900,甘肃省,620000
庆阳市,621000,甘肃省,620000
白银市,620400,甘肃省,620000
海南藏族自治州,632500,青海省,630000
海东市,630200,青海省,630000
海西蒙古族藏族自治州,632800,青海省,630000
玉树藏族自治州,632700,青海省,630000
黄南藏族自治州,632300,青海省,630000
果洛藏族自治州,632600,青海省,630000
西宁市,630100,青海省,630000
海北藏族自治州,632200,青海省,630000
固原市,640400,宁夏回族自治区,640000
石嘴山市,640200,宁夏回族自治区,640000
吴忠市,640300,宁夏回族自治区,640000
银川市,640100,宁夏回族自治区,640000
中卫市,640500,宁夏回族自治区,640000
铁门关市,659006,新疆维吾尔自治区,650000
北屯市,659005,新疆维吾尔自治区,650000
双河市,659007,新疆维吾尔自治区,650000
博尔塔拉蒙古自治州,652700,新疆维吾尔自治区,650000
可克达拉市,659008,新疆维吾尔自治区,650000
塔城地区,654200,新疆维吾尔自治区,650000
昆玉市,659009,新疆维吾尔自治区,650000
和田地区,653200,新疆维吾尔自治区,650000
阿勒泰地区,654300,新疆维吾尔自治区,650000
石河子市,659001,新疆维吾尔自治区,650000
昌吉回族自治州,652300,新疆维吾尔自治区,650000
巴音郭楞蒙古自治州,652800,新疆维吾尔自治区,650000
伊犁哈萨克自治州,654000,新疆维吾尔自治区,650000
阿拉尔市,659002,新疆维吾尔自治区,650000
喀什地区,653100,新疆维吾尔自治区,650000
克孜勒苏柯尔克孜自治州,653000,新疆维吾尔自治区,650000
克拉玛依市,650200,新疆维吾尔自治区,650000
吐鲁番市,650400,新疆维吾尔自治区,650000
哈密市,650500,新疆维吾尔自治区,650000
新星市,659011,新疆维吾尔自治区,650000
图木舒克市,659003,新疆维吾尔自治区,650000
阿克苏地区,652900,新疆维吾尔自治区,650000
乌鲁木齐市,650100,新疆维吾尔自治区,650000
胡杨河市,659010,新疆维吾尔自治区,650000
五家渠市,659004,新疆维吾尔自治区,650000
台湾省,710000,台湾省,710000
香港特别行政区,810000,香港特别行政区,810000
澳门特别行政区,820000,澳门特别行政区,820000
